event_id,event_title,event_summary,main_tag,main_tags,keywords,key_phrases,start_date,end_date,discussion_count,message_count,chat_count,author_count,negative_count,toxic_count,negative_share,toxic_share,importance_score,status,is_hidden
e_01033,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 20.04.2026 20:39 по 20.04.2026 20:39. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: termoland, dolgoprudnenskoye, highway.",яндекс,яндекс,termoland|dolgoprudnenskoye|highway,,2026-04-20 20:39:00,2026-04-20 20:39:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01035,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 20.04.2026 20:51 по 20.04.2026 20:51. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: коммерческая, компания, никогда, такого, сделает.",яндекс,яндекс,коммерческая|компания|никогда|такого|сделает|поднимать|индексировать,,2026-04-20 20:51:00,2026-04-20 20:51:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01038,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 20.04.2026 20:54 по 20.04.2026 20:54. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: меньше, точно, станет, поездок, людям.",яндекс,яндекс,меньше|точно|станет|поездок|людям|равно|сколько,,2026-04-20 20:54:00,2026-04-20 20:54:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01040,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 20.04.2026 20:58 по 20.04.2026 20:58. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: условия, лучше, тачки, блокируют, говорит.",яндекс,яндекс,условия|лучше|тачки|блокируют|говорит|переферии|кугут,,2026-04-20 20:58:00,2026-04-20 20:58:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01054,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 20.04.2026 21:54 по 20.04.2026 21:54. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: знает, говорят, бот, телеге, пропускать.",яндекс,яндекс,знает|говорят|бот|телеге|пропускать|баллы|снимают,,2026-04-20 21:54:00,2026-04-20 21:54:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01056,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 20.04.2026 21:55 по 20.04.2026 21:55. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: мих, сам, отказал, этой, идее.",яндекс,яндекс,мих|сам|отказал|этой|идее|узнав|прошу,,2026-04-20 21:55:00,2026-04-20 21:55:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01057,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 20.04.2026 22:06 по 20.04.2026 22:06. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: права, перевозчика, убил, конкурировать, перевозчикам.",яндекс,яндекс,права|перевозчика|убил|конкурировать|перевозчикам|сути|требования,,2026-04-20 22:06:00,2026-04-20 22:06:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01062,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 20.04.2026 22:21 по 20.04.2026 22:21. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: точкой точки.",яндекс,яндекс,домой|режиме|точкой|точки|попробую|разъяснить|нормально,точкой точки,2026-04-20 22:21:00,2026-04-20 22:21:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01066,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 20.04.2026 22:40 по 20.04.2026 22:40. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: домой, telegr, работают, студенты, понимают.",яндекс,яндекс,домой|telegr|работают|студенты|понимают|такое|режим,,2026-04-20 22:40:00,2026-04-20 22:40:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01068,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 20.04.2026 22:45 по 20.04.2026 22:45. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: поняла, поржал, моим, скрином, настолько.",яндекс,яндекс,поняла|поржал|моим|скрином|настолько|лоялен|течение,,2026-04-20 22:45:00,2026-04-20 22:45:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01071,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 20.04.2026 22:58 по 20.04.2026 22:58. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: сдал, след, худшее, последние, лет.",яндекс,яндекс,сдал|след|худшее|последние|лет|yazaki|yaz,,2026-04-20 22:58:00,2026-04-20 22:58:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01074,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 20.04.2026 23:14 по 20.04.2026 23:14. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: рейтингом, водителей, думают, фистинг, берут.",яндекс,яндекс,рейтингом|водителей|думают|фистинг|берут,,2026-04-20 23:14:00,2026-04-20 23:14:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01076,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 20.04.2026 23:16 по 20.04.2026 23:16. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: общем, разогнуться, решила, попробовать, сделать.",яндекс,яндекс,общем|разогнуться|решила|попробовать|сделать|цели|уйх,,2026-04-20 23:16:00,2026-04-20 23:16:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01077,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 20.04.2026 23:27 по 20.04.2026 23:27. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: водителей, дома, парковка, заправки, спят.",яндекс,яндекс,водителей|дома|парковка|заправки|спят|режиме|домой,,2026-04-20 23:27:00,2026-04-20 23:27:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01085,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 21.04.2026 00:52 по 21.04.2026 00:52. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: настоящий, таксист, работает, минуса, долги.",яндекс,яндекс,настоящий|таксист|работает|минуса|долги|кредиты|наездник,,2026-04-21 00:52:00,2026-04-21 00:52:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01086,Запуск и обсуждение WB Такси,"Тема «WB Такси» обсуждалась с 21.04.2026 01:00 по 21.04.2026 01:00. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: прежде, нисши, рабочими, местами, люди.",WB Такси,WB Такси,прежде|нисши|рабочими|местами|люди|могут|зарабатывать,,2026-04-21 01:00:00,2026-04-21 01:00:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01088,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 21.04.2026 01:15 по 21.04.2026 01:15. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: человек, сделал, добро, вырвал, машину.",яндекс,яндекс,человек|сделал|добро|вырвал|машину|работы|моей,,2026-04-21 01:15:00,2026-04-21 01:15:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01090,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 21.04.2026 01:21 по 21.04.2026 01:21. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: люди, совсем, мог, послушать, таксисты.",яндекс,яндекс,люди|совсем|мог|послушать|таксисты|всегда|особо,,2026-04-21 01:21:00,2026-04-21 01:21:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01092,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 21.04.2026 01:23 по 21.04.2026 01:23. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: знаю, дровам, людей, рекламировать, год.",яндекс,яндекс,знаю|дровам|людей|рекламировать|год|потому|умеют,,2026-04-21 01:23:00,2026-04-21 01:23:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01094,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 21.04.2026 01:32 по 21.04.2026 01:32. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: обычно, включаю, паксам, релакс, свое.",яндекс,яндекс,обычно|включаю|паксам|релакс|свое|левое|ухо,,2026-04-21 01:32:00,2026-04-21 01:32:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01111,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 21.04.2026 06:20 по 21.04.2026 06:20. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: школу, оценки, переживаете, переживай, всех.",яндекс,яндекс,школу|оценки|переживаете|переживай|всех|наебет,,2026-04-21 06:20:00,2026-04-21 06:20:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01112,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 21.04.2026 06:27 по 21.04.2026 06:27. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: хватает, еду, главное, музыку.",яндекс,яндекс,хватает|еду|главное|музыку,,2026-04-21 06:27:00,2026-04-21 06:27:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
