discussion_id,message_id,discussion_source
d_parent_1589b49e5705,m_52a21fd9a201,parent_link_segment
d_parent_1589b49e5705,m_36830063c5b1,parent_link_segment
d_parent_41b08f3d2c31,m_c8d368b0c3d3,parent_link_segment
d_parent_d395b257e30c,m_d5add07cb3ce,parent_link_segment
d_parent_45103c8b5642,m_2c5cdb7d0e5c,parent_link_segment
d_parent_5e5b52e183a8,m_5d16596915d1,parent_link_segment
d_parent_5e5b52e183a8,m_69cadeb56c9b,parent_link_segment
d_parent_43ef4cc1ddf7,m_a7cc0b2bb2b9,parent_link_segment
d_parent_13c798bf2d2e,m_2889d9511740,parent_link_segment
d_parent_6687fa61ded4,m_14501f9a574c,parent_link_segment
d_parent_449ce213fed1,m_95f4b42e0dc4,parent_link_segment
d_parent_1006fb8e7451,m_f11f38985c96,parent_link_segment
d_parent_87ec4b07b1d9,m_50b2fd7bd87d,parent_link_segment
d_parent_889df917c876,m_5f7e21ed5e82,parent_link_segment
d_parent_af6126541fa2,m_ae22bad6ba8d,parent_link_segment
d_parent_b3cb3133aa1e,m_1cdfae3931f5,parent_link_segment
d_parent_b3cb3133aa1e,m_480f9be2a0e6,parent_link_segment
d_parent_b3cb3133aa1e,m_e8d28074f2c7,parent_link_segment
d_parent_b3cb3133aa1e,m_db875306f51d,parent_link_segment
d_parent_40adfde7c081,m_719ee23c097b,parent_link_segment
d_parent_dfe9281f9e05,m_e06ffa247c55,parent_link_segment
d_parent_dfe9281f9e05,m_7462678df069,parent_link_segment
d_parent_dfe9281f9e05,m_a62ea40cd847,parent_link_segment
d_parent_b318d7262c82,m_f4895ae3921d,parent_link_segment
d_parent_aa41bb28def6,m_0144a88acce0,parent_link_segment
d_parent_64c03f74e527,m_06e376db818e,parent_link_segment
d_parent_bd048ee633b0,m_c411f82dcef6,parent_link_segment
d_parent_2a92acf55c4f,m_953edc1ff690,parent_link_segment
d_parent_ebbb6b30da7c,m_42ebc0eed708,parent_link_segment
d_parent_ed3104aa6d8c,m_b985be9e9a7a,parent_link_segment
d_parent_9d8c697e1ba7,m_521cdca72b34,parent_link_segment
d_parent_9939388e5e56,m_c8a3e7b51518,parent_link_segment
d_parent_84b1ea3b5601,m_019d56e4f2f9,parent_link_segment
d_parent_664542b50f21,m_01b6fe265486,parent_link_segment
d_parent_a802feda7e0c,m_ebd57b313c76,parent_link_segment
d_parent_bccba9d06b6f,m_1525863ac529,parent_link_segment
d_parent_bccba9d06b6f,m_5226162fba52,parent_link_segment
d_parent_6974fdf2cfe8,m_8a8a948e10c7,parent_link_segment
d_parent_955f3c021acc,m_7cfd33ec9b50,parent_link_segment
