event_id,discussion_id
e_00188,d_parent_321a674b8924
e_00096,d_parent_380f4689736a
e_00189,d_parent_f877a3ac315b
e_00190,d_parent_31be54ac3533
e_00132,d_parent_ba9bcc3cfe07
e_00190,d_parent_418fd038cfec
e_00001,d_parent_c94f5b787cc7
e_00132,d_parent_10ad9ee4cde3
e_00190,d_parent_97df80a6bd2b
e_00191,d_parent_34f9b9a28cc7
e_00001,d_parent_5bfc5a0c2824
e_00192,d_parent_6d6dae1b9681
e_00001,d_parent_8c03cf6c67cc
e_00001,d_parent_15e8da67e715
e_00001,d_parent_c1b2b8d6d143
e_00193,d_parent_5843efe779eb
e_00194,d_parent_3d5478fbfd49
e_00001,d_parent_cdfc73b8e7a9
e_00001,d_parent_ac83941d75ee
e_00096,d_parent_3d7648c3971f
e_00132,d_parent_258c5812c4b3
e_00075,d_parent_c287752cdda5
e_00001,d_parent_cab23569bf7d
e_00096,d_parent_896a4a0d4e3e
e_00001,d_parent_a9472641efbf
e_00132,d_parent_9b9382e65678
e_00075,d_parent_06442401e3bd
e_00049,d_parent_120feecf7d98
e_00001,d_parent_6ed7edfccc74
e_00132,d_parent_809bd3695029
e_00001,d_parent_67a8ba4dd192
e_00195,d_parent_c52af897a5e8
e_00096,d_parent_d1b73f7ad919
e_00096,d_parent_4c5276b49f37
e_00196,d_parent_cb4392798b07
e_00132,d_parent_dcd8bc93c7b1
e_00001,d_parent_621a5ffec91a
e_00132,d_parent_53f786dd7813
e_00132,d_parent_2db6b782a978
e_00096,d_parent_318d1965c676
e_00197,d_parent_488c664f9333
e_00001,d_parent_ecdd02d62fc7
e_00001,d_parent_936f5bb571ac
e_00198,d_parent_d139a7273571
e_00001,d_parent_c9a981a53829
e_00075,d_parent_d384bb31d3aa
e_00096,d_parent_bba20e0c5d87
e_00075,d_parent_a7d46a831fce
e_00001,d_parent_a7110b5bd560
e_00096,d_parent_fbc471d9ab65
e_00096,d_parent_2a3d85084425
e_00096,d_parent_02260ae5b856
e_00096,d_parent_5094273154c9
e_00001,d_parent_ed59d6cb06bf
e_00001,d_parent_cfc154d6d2df
e_00001,d_parent_914da209a31e
e_00199,d_parent_0ac6b6c16e44
e_00201,d_parent_bc8bffad2251
e_00096,d_parent_4696fb6c9901
e_00050,d_parent_9f8f9feabbe7
e_00202,d_parent_3b35a4ad5834
e_00203,d_parent_4049e7a1acb4
e_00107,d_parent_e2ce0703f85a
e_00096,d_parent_86ee890c0652
e_00204,d_parent_66d7c24a6e5e
e_00001,d_parent_b20f5c11e36e
e_00205,d_parent_3303cf3da9ec
e_00132,d_parent_61e1a2ff8e3a
e_00001,d_parent_43ec1e40b16d
e_00096,d_parent_332a4c924127
e_00096,d_parent_745828061a23
e_00075,d_parent_986230b30ff9
e_00001,d_parent_d882f9c891af
e_00075,d_parent_2780df544ef4
e_00206,d_parent_e7d4df835a10
e_00207,d_parent_b3d8aefc31ec
e_00001,d_parent_61629d03bac7
e_00001,d_parent_782b201aaf55
e_00132,d_parent_687095bff36b
e_00132,d_parent_d17bea499ffc
e_00001,d_parent_ec42911b4c51
e_00001,d_parent_629eb0f9bb63
e_00051,d_parent_804d0770a4aa
e_00096,d_parent_11d06890a2bc
e_00209,d_parent_387344b59942
e_00001,d_parent_28aefc15d23c
e_00096,d_parent_993cf7bbef99
e_00210,d_parent_3c64856dde72
e_00096,d_parent_a1dbc8b83a65
e_00211,d_parent_a40360787b21
e_00212,d_parent_1c48a6150a9c
e_00096,d_parent_b8f9100834b8
e_00096,d_parent_60fd0d604417
e_00213,d_parent_45937503663a
e_00096,d_parent_1e6d19490c05
e_00214,d_parent_2f3a52dc81b6
e_00215,d_parent_d0246e0b3851
e_00215,d_parent_666c760e30e5
e_00216,d_parent_c5c3387d92f2
e_00216,d_parent_7eb5bbd98e75
e_00217,d_parent_bfc1017d62e2
e_00001,d_parent_8c3b1a282090
e_00001,d_parent_fc4c568f9e9b
e_00218,d_parent_abd8cb8d51fd
e_00001,d_parent_b6c5e41522a6
e_00011,d_parent_f2115f59ba0f
e_00001,d_parent_4c395be6acf7
e_00219,d_parent_79966dfc7d4a
e_00220,d_parent_e5d83bc97f08
e_00221,d_parent_349c61c65a90
e_00051,d_parent_bf71b4d8b5e1
e_00001,d_parent_879d1d5756d0
e_00001,d_parent_a8a0d74d9490
e_00001,d_parent_e9bbcc9734dc
e_00096,d_parent_57e3ced0da74
e_00001,d_parent_bc9cc444ada5
e_00096,d_parent_e397b9c6b631
e_00096,d_parent_7dc83aa32794
e_00096,d_parent_81c7766d1a31
e_00222,d_parent_024f5f86a8cb
e_00051,d_parent_88a83dfe3e23
e_00001,d_parent_45bed07bdfc7
e_00001,d_parent_b11293362c44
e_00132,d_parent_6eef086b15f2
e_00051,d_parent_9c0d965f7d57
e_00051,d_parent_d73e46a74103
e_00223,d_parent_cc84669924b6
e_00001,d_parent_c031bfe7fe5f
e_00001,d_parent_7b1925b8f03d
e_00096,d_parent_c09c94fbfa8d
e_00001,d_parent_527737d79582
e_00001,d_parent_0553b01eb690
e_00096,d_parent_578c3d8c3cb5
e_00001,d_parent_f39e402f203b
e_00096,d_parent_a0437ed11109
